spark-submit --class FF /home/acald013/Research/GeoSpark/target/scala-2.11/pflock_2.11-0.1.jar --input /home/acald013/Research/Datasets/Berlin/SideBySide/B3.tsv --epsilon 110 --mu 3 --delta 3 --distance 100 --master 169.235.27.138 --cores 4 --executors 3 --spatial CUSTOM --customymf 30 --customxmf 90 --customy 30 --customx 90 --fftimestamp 5
2019-05-17 08:11:27,873|MF|app-20190517080852-0279|3|4|START|156.85|D.Disks found                                     |  0.00|     0|2
2019-05-17 08:11:32,214|MF|app-20190517080852-0279|3|4|  END|161.20|D.Disks found                                     |  4.34|218122|2
2019-05-17 08:11:32,214|MF|app-20190517080852-0279|3|4|START|161.20|E.Disks indexed                                   |  0.00|     0|2
2019-05-17 08:11:32,842|MF|app-20190517080852-0279|3|4|  END|161.82|E.Disks indexed                                   |  0.63|218122|2
2019-05-17 08:11:32,842|MF|app-20190517080852-0279|3|4|START|161.82|F.Expansions gotten                               |  0.00|     0|2
2019-05-17 08:11:39,212|MF|app-20190517080852-0279|3|4|  END|168.19|F.Expansions gotten                               |  6.37|307408|2
2019-05-17 08:11:39,212|MF|app-20190517080852-0279|3|4|START|168.19|G.Maximal disks found                             |  0.00|     0|2
2019-05-17 08:12:04,635|MF|app-20190517080852-0279|3|4|  END|193.62|G.Maximal disks found                             | 25.42| 60707|2
2019-05-17 08:12:04,635|MF|app-20190517080852-0279|3|4|START|193.62|H.Maximal disks prunned                           |  0.00|     0|2
2019-05-17 08:12:15,302|MF|app-20190517080852-0279|3|4|  END|204.28|H.Maximal disks prunned                           | 10.67| 41224|2
2019-05-17 08:12:16,613|FF|app-20190517080852-0279|3|4|  END|205.59|1.Maximal disks found                             | 50.19| 41224|2
2019-05-17 08:12:16,613|FF|app-20190517080852-0279|3|4|START|205.59|2.Join done                                       |  0.00|     0|2
2019-05-17 08:13:50,064|FF|app-20190517080852-0279|3|4|  END|299.05|2.Join done                                       | 93.45|264490|2
2019-05-17 08:13:50,064|FF|app-20190517080852-0279|3|4|START|299.05|3.Flocks to report                                |  0.00|     0|2
