10;SpatialJoin;30;3;5;D.Computing centers...;1.573;11594;36.76
10;SpatialJoin;30;3;5;E.Indexing centers...;1.308;11594;36.76
10;SpatialJoin;30;3;5;F.Getting disks...;7.498;11594;36.76
10;SpatialJoin;30;3;5;G.Filtering less-than-mu disks...;0.365;3645;36.76
10;SpatialJoin;30;3;5;H.Prunning duplicate candidates...;5.275;1845;36.76
10;SpatialJoin;30;3;5;I.Indexing candidates...;5.609;1845;36.76
10;SpatialJoin;30;3;5;J.Getting expansions...;0.195;2902;36.76
10;SpatialJoin;30;3;5;K.Finding maximal disks...;0.164;781;36.76
10;SpatialJoin;30;3;5;L.Prunning duplicates and subsets...;2.128;776;36.76
0;MergeLast;30;3;5;B.Indexing points...;142.805;18093;169.09
0;MergeLast;30;3;5;C.Getting pairs...;7.626;5511;169.09
0;MergeLast;30;3;5;D.Computing centers...;2.233;11022;169.09
0;MergeLast;30;3;5;E.Indexing centers...;1.431;11022;169.09
0;MergeLast;30;3;5;F.Getting disks...;5.911;11022;169.09
0;MergeLast;30;3;5;G.Filtering less-than-mu disks...;0.457;3372;169.09
0;MergeLast;30;3;5;H.Prunning duplicate candidates...;4.931;1700;169.09
0;MergeLast;30;3;5;I.Indexing candidates...;5.461;1700;169.09
0;MergeLast;30;3;5;J.Getting expansions...;0.255;2699;169.09
0;MergeLast;30;3;5;K.Finding maximal disks...;0.794;752;169.09
0;MergeLast;30;3;5;L.Prunning duplicates and subsets...;2.112;749;169.09
1;MergeLast;30;3;5;B.Indexing points...;115.021;18245;133.04
1;MergeLast;30;3;5;C.Getting pairs...;5.074;5629;133.04
1;MergeLast;30;3;5;D.Computing centers...;1.374;11258;133.04
1;MergeLast;30;3;5;E.Indexing centers...;1.106;11258;133.04
1;MergeLast;30;3;5;F.Getting disks...;4.88;11258;133.04
1;MergeLast;30;3;5;G.Filtering less-than-mu disks...;0.23;3500;133.04
1;MergeLast;30;3;5;H.Prunning duplicate candidates...;3.118;1778;133.04
1;MergeLast;30;3;5;I.Indexing candidates...;3.517;1778;133.04
1;MergeLast;30;3;5;J.Getting expansions...;0.198;2890;133.04
1;MergeLast;30;3;5;K.Finding maximal disks...;0.178;770;133.04
1;MergeLast;30;3;5;L.Prunning duplicates and subsets...;1.461;767;133.04
2;MergeLast;30;3;5;B.Indexing points...;123.255;18394;140.71
2;MergeLast;30;3;5;C.Getting pairs...;5.096;5701;140.71
2;MergeLast;30;3;5;D.Computing centers...;1.427;11402;140.71
2;MergeLast;30;3;5;E.Indexing centers...;1.033;11402;140.71
2;MergeLast;30;3;5;F.Getting disks...;4.856;11402;140.71
2;MergeLast;30;3;5;G.Filtering less-than-mu disks...;0.238;3535;140.71
2;MergeLast;30;3;5;H.Prunning duplicate candidates...;2.647;1807;140.71
2;MergeLast;30;3;5;I.Indexing candidates...;3;1807;140.71
2;MergeLast;30;3;5;J.Getting expansions...;0.221;2902;140.71
2;MergeLast;30;3;5;K.Finding maximal disks...;0.161;776;140.71
2;MergeLast;30;3;5;L.Prunning duplicates and subsets...;1.425;774;140.71
3;MergeLast;30;3;5;B.Indexing points...;131.298;18548;159.87
3;MergeLast;30;3;5;C.Getting pairs...;10.435;5768;159.87
3;MergeLast;30;3;5;D.Computing centers...;1.496;11536;159.87
3;MergeLast;30;3;5;E.Indexing centers...;1.02;11536;159.87
3;MergeLast;30;3;5;F.Getting disks...;7.22;11536;159.87
3;MergeLast;30;3;5;G.Filtering less-than-mu disks...;0.342;3584;159.87
3;MergeLast;30;3;5;H.Prunning duplicate candidates...;5.285;1848;159.87
3;MergeLast;30;3;5;I.Indexing candidates...;5.793;1848;159.87
3;MergeLast;30;3;5;J.Getting expansions...;0.181;3000;159.87
3;MergeLast;30;3;5;K.Finding maximal disks...;0.159;787;159.87
3;MergeLast;30;3;5;L.Prunning duplicates and subsets...;1.922;785;159.87
4;MergeLast;30;3;5;B.Indexing points...;140.948;18548;170.75
4;MergeLast;30;3;5;C.Getting pairs...;10.712;5775;170.75
4;MergeLast;30;3;5;D.Computing centers...;1.582;11550;170.75
4;MergeLast;30;3;5;E.Indexing centers...;1.189;11550;170.75
4;MergeLast;30;3;5;F.Getting disks...;7.268;11550;170.75
4;MergeLast;30;3;5;G.Filtering less-than-mu disks...;0.306;3606;170.75
4;MergeLast;30;3;5;H.Prunning duplicate candidates...;5.605;1867;170.75
4;MergeLast;30;3;5;I.Indexing candidates...;5.996;1867;170.75
4;MergeLast;30;3;5;J.Getting expansions...;0.206;3005;170.75
4;MergeLast;30;3;5;K.Finding maximal disks...;0.2;795;170.75
