partitionId	taskId	grid_id	wkt	area	perimeter	jobId	jobGroup	stageId	index	launchTime	finishTime	duration	schedulerDelay	executorId	host	taskLocality	speculative	gettingResultTime	successful	executorRunTime	executorCpuTime	executorDeserializeTime	executorDeserializeCpuTime	resultSerializationTime	jvmGCTime	resultSize	numUpdatedBlockStatuses	diskBytesSpilled	memoryBytesSpilled	peakExecutionMemory	recordsRead	bytesRead	recordsWritten	bytesWritten	shuffleFetchWaitTime	shuffleTotalBytesRead	shuffleTotalBlocksFetched	shuffleLocalBlocksFetched	shuffleRemoteBlocksFetched	shuffleWriteTime	shuffleBytesWritten	shuffleRecordsWritten	appId	phaseName	epsilon
3013	23795	3013	POLYGON ((1994938.7704 544359.054, 1994938.7704 544992.0623, 1995440.1392 544992.0623, 1995440.1392 544359.054, 1994938.7704 544359.054))	317370.5983253633	2268.754156250041	12		41	23795	1594773031758	1594773031814	56	20	6	mr-04	0	false	0	true	21	17	15	14	0	0	967	0	0	0	0	0	0	0	0	0	2518	28	2	26	0	0	0	0627	Disks phase	10.0
306	21088	306	POLYGON ((1978393.6007 570945.4025, 1978393.6007 571578.4108, 1978894.9694 571578.4108, 1978894.9694 570945.4025, 1978393.6007 570945.4025))	317370.5983253633	2268.754156250041	12		41	21088	1594773025101	1594773025309	208	5	5	mr-08	0	false	0	true	188	26	15	13	0	0	967	0	0	0	0	0	0	0	0	160	6138	68	4	64	0	0	0	0627	Disks phase	10.0
3472	24254	3472	POLYGON ((1992933.2953 538028.9711, 1992933.2953 538661.9794, 1993434.6641 538661.9794, 1993434.6641 538028.9711, 1992933.2953 538028.9711))	317370.5983253633	2268.754156250041	12		41	24254	1594773032543	1594773032586	43	5	8	mr-11	0	false	0	true	22	21	16	15	0	0	967	0	0	0	0	0	0	0	0	0	1982	22	2	20	0	0	0	0627	Disks phase	10.0
3494	24276	3494	POLYGON ((1992933.2953 536762.9545, 1992933.2953 537079.4586, 1993183.9797 537079.4586, 1993183.9797 536762.9545, 1992933.2953 536762.9545))	79342.64958134083	1134.3770781250205	12		41	24276	1594773032604	1594773032671	67	3	6	mr-04	0	false	0	true	51	18	13	12	0	0	967	0	0	0	0	0	0	0	0	32	5844	64	4	60	0	0	0	0627	Disks phase	10.0
1093	21875	1093	POLYGON ((1987919.6075 571578.4108, 1987919.6075 572844.4274, 1988922.3451 572844.4274, 1988922.3451 571578.4108, 1987919.6075 571578.4108))	1269482.3933013363	4537.508312499849	12		41	21875	1594773026459	1594773026622	163	4	11	mr-03	0	false	0	true	117	33	42	13	0	27	1010	0	0	0	0	0	0	0	0	80	13132	144	14	130	0	0	0	0627	Disks phase	10.0
756	21538	756	POLYGON ((1976638.8099 560817.2698, 1976638.8099 560975.5218, 1976764.1521 560975.5218, 1976764.1521 560817.2698, 1976638.8099 560817.2698))	19835.66239532791	567.1885390623938	12		41	21538	1594773025729	1594773025987	258	7	12	mr-10	0	false	0	true	239	32	12	12	0	0	967	0	0	0	0	0	0	0	0	199	6254	68	4	64	0	0	0	0627	Disks phase	10.0
2177	22959	2177	POLYGON ((1965859.3811 542460.0292, 1965859.3811 543726.0457, 1966862.1187 543726.0457, 1966862.1187 542460.0292, 1965859.3811 542460.0292))	1269482.3933013363	4537.508312499849	12		41	22959	1594773029903	1594773030095	192	9	11	mr-03	0	false	0	true	171	29	12	12	0	0	967	0	0	0	0	0	0	0	0	138	8018	88	8	80	0	0	0	0627	Disks phase	10.0
2834	23616	2834	POLYGON ((1985914.1324 543726.0457, 1985914.1324 544992.0623, 1986916.8699 544992.0623, 1986916.8699 543726.0457, 1985914.1324 543726.0457))	1269482.3933013363	4537.508312499849	12		41	23616	1594773031560	1594773031748	188	17	4	mr-07	0	false	0	true	158	20	13	11	0	0	967	0	0	0	0	0	0	0	0	135	6136	68	2	66	0	0	0	0627	Disks phase	10.0
3403	24185	3403	POLYGON ((1989298.3716 538345.4752, 1989298.3716 538503.7273, 1989423.7138 538503.7273, 1989423.7138 538345.4752, 1989298.3716 538345.4752))	19835.66239532791	567.1885390623938	12		41	24185	1594773032319	1594773032621	302	9	1	mr-01	0	false	0	true	280	17	13	12	0	0	967	0	0	0	0	0	0	0	0	261	1260	14	0	14	0	0	0	0627	Disks phase	10.0
3056	23838	3056	POLYGON ((1986916.8699 542460.0292, 1986916.8699 543726.0457, 1987919.6075 543726.0457, 1987919.6075 542460.0292, 1986916.8699 542460.0292))	1269482.3933013363	4537.508312499849	12		41	23838	1594773031780	1594773032150	370	23	8	mr-11	0	false	0	true	327	40	20	12	0	0	967	0	0	0	0	0	0	0	0	282	6024	66	4	62	0	0	0	0627	Disks phase	10.0
1742	22524	1742	POLYGON ((1963979.2482 550135.2548, 1963979.2482 550214.3808, 1964041.9193 550214.3808, 1964041.9193 550135.2548, 1963979.2482 550135.2548))	4958.915598835625	283.59426953131333	12		41	22524	1594773029148	1594773029384	236	8	3	mr-05	0	false	0	true	213	32	15	13	0	0	967	0	0	0	0	0	0	0	0	176	5050	56	4	52	0	0	0	0627	Disks phase	10.0
133	20915	133	POLYGON ((1964856.6436 565248.3278, 1964856.6436 565881.3361, 1965358.0123 565881.3361, 1965358.0123 565248.3278, 1964856.6436 565248.3278))	317370.5983253633	2268.754156250041	12		41	20915	1594773024880	1594773025099	219	9	5	mr-08	0	false	0	true	195	26	15	13	0	0	967	0	0	0	0	0	0	0	0	167	5666	62	6	56	0	0	0	0627	Disks phase	10.0
3511	24293	3511	POLYGON ((1995440.1392 536129.9462, 1995440.1392 536762.9545, 1995941.508 536762.9545, 1995941.508 536129.9462, 1995440.1392 536129.9462))	317370.5983253633	2268.754156250041	12		41	24293	1594773032615	1594773032671	56	3	5	mr-08	0	false	0	true	36	21	17	16	0	0	967	0	0	0	0	0	0	0	0	13	3432	38	6	32	0	0	0	0627	Disks phase	10.0
604	21386	604	POLYGON ((1971875.8065 562083.2864, 1971875.8065 562399.7905, 1972126.4909 562399.7905, 1972126.4909 562083.2864, 1971875.8065 562083.2864))	79342.64958134083	1134.3770781250205	12		41	21386	1594773025498	1594773025722	224	10	1	mr-01	0	false	0	true	201	24	13	12	0	0	967	0	0	0	0	0	0	0	0	174	4874	54	10	44	0	0	0	0627	Disks phase	10.0
1358	22140	1358	POLYGON ((1982028.5243 561885.4713, 1982028.5243 561925.0343, 1982059.8599 561925.0343, 1982059.8599 561885.4713, 1982028.5243 561885.4713))	1239.7288997089063	141.79713476565666	12		41	22140	1594773026801	1594773030053	3252	5	6	mr-04	0	false	0	true	3220	2327	27	13	0	675	1010	0	0	0	0	0	0	0	0	160	32726	350	28	322	0	0	0	0627	Disks phase	10.0
