spark-submit --class FF /home/acald013/Research/GeoSpark/target/scala-2.11/pflock_2.11-0.1.jar --input /home/acald013/Research/Datasets/Berlin/SideBySide/B1.tsv --epsilon 110 --mu 3 --delta 3 --distance 100 --master 169.235.27.138 --cores 4 --executors 1 --spatial CUSTOM --customymf 30 --customxmf 30 --customy 30 --customx 30 --fftimestamp 5
2019-05-09 18:52:40,649|FF|app-20190509184931-0108|1|4|START|190.47|2.Join done                                       |  0.00|     0|2
2019-05-09 18:53:10,239|FF|app-20190509184931-0108|1|4|  END|220.06|2.Join done                                       | 29.59| 88166|2
2019-05-09 18:53:10,239|FF|app-20190509184931-0108|1|4|START|220.06|3.Flocks to report                                |  0.00|     0|2
2019-05-09 18:53:13,019|FF|app-20190509184931-0108|1|4|  END|222.84|3.Flocks to report                                |  2.78| 75440|2
2019-05-09 18:53:13,019|FF|app-20190509184931-0108|1|4|START|222.84|4.Flocks prunned by expansion                     |  0.00|     0|2
2019-05-09 18:53:13,072|FF|app-20190509184931-0108|1|4|START|222.90|4a.Making expansions                              |  0.00|     0|2
2019-05-09 18:53:18,944|FF|app-20190509184931-0108|1|4|  END|228.77|4a.Making expansions                              |  5.87| 89726|2
2019-05-09 18:53:18,944|FF|app-20190509184931-0108|1|4|START|228.77|4b.Finding maximals                               |  0.00|     0|2
2019-05-09 18:53:51,771|FF|app-20190509184931-0108|1|4|  END|261.59|4b.Finding maximals                               | 32.83| 19233|2
2019-05-09 18:53:51,771|FF|app-20190509184931-0108|1|4|START|261.59|4c.Selecting and mapping                          |  0.00|     0|2
2019-05-09 18:53:56,261|FF|app-20190509184931-0108|1|4|  END|266.08|4c.Selecting and mapping                          |  4.49| 19233|2
2019-05-09 18:53:56,261|FF|app-20190509184931-0108|1|4|START|266.08|4d.Filtering and distinc                          |  0.00|     0|2
2019-05-09 18:53:56,552|FF|app-20190509184931-0108|1|4|  END|266.38|4d.Filtering and distinc                          |  0.29| 19233|2
2019-05-09 18:53:57,525|FF|app-20190509184931-0108|1|4|  END|267.35|4.Flocks prunned by expansion                     | 44.51| 13206|2
2019-05-09 18:53:57,525|FF|app-20190509184931-0108|1|4|START|267.35|5.Flocks reported                                 |  0.00|     0|2
2019-05-09 18:53:57,892|FF|app-20190509184931-0108|1|4|  END|267.72|5.Flocks reported                                 |  0.37| 13206|2
2019-05-09 18:53:57,893|FF|app-20190509184931-0108|1|4|START|267.72|6.Candidates indexed                              |  0.00|     0|2
2019-05-09 18:54:08,179|FF|app-20190509184931-0108|1|4|  END|278.00|6.Candidates indexed                              | 10.29| 27016|2
2019-05-09 18:54:08,180|FF|app-20190509184931-0108|1|4|START|278.00|1.Maximal disks found                             |  0.00|     0|3
2019-05-09 18:54:08,180|MF|app-20190509184931-0108|1|4|START|278.00|A.Points indexed                                  |  0.00|     0|3
2019-05-09 18:54:08,309|MF|app-20190509184931-0108|1|4|  END|278.13|A.Points indexed                                  |  0.13| 37108|3
2019-05-09 18:54:08,309|MF|app-20190509184931-0108|1|4|START|278.13|B.Pairs found                                     |  0.00|     0|3
2019-05-09 18:54:09,366|MF|app-20190509184931-0108|1|4|  END|279.19|B.Pairs found                                     |  1.06| 82526|3
2019-05-09 18:54:09,366|MF|app-20190509184931-0108|1|4|START|279.19|C.Centers found                                   |  0.00|     0|3
2019-05-09 18:54:09,589|MF|app-20190509184931-0108|1|4|  END|279.41|C.Centers found                                   |  0.22|165052|3
2019-05-09 18:54:09,589|MF|app-20190509184931-0108|1|4|START|279.41|D.Disks found                                     |  0.00|     0|3
2019-05-09 18:54:14,839|MF|app-20190509184931-0108|1|4|  END|284.66|D.Disks found                                     |  5.25| 74178|3
2019-05-09 18:54:14,839|MF|app-20190509184931-0108|1|4|START|284.66|E.Disks indexed                                   |  0.00|     0|3
2019-05-09 18:54:15,455|MF|app-20190509184931-0108|1|4|  END|285.28|E.Disks indexed                                   |  0.62| 74178|3
2019-05-09 18:54:15,455|MF|app-20190509184931-0108|1|4|START|285.28|F.Expansions gotten                               |  0.00|     0|3
2019-05-09 18:54:22,730|MF|app-20190509184931-0108|1|4|  END|292.55|F.Expansions gotten                               |  7.28|104658|3
2019-05-09 18:54:22,730|MF|app-20190509184931-0108|1|4|START|292.55|G.Maximal disks found                             |  0.00|     0|3
2019-05-09 18:54:51,854|MF|app-20190509184931-0108|1|4|  END|321.68|G.Maximal disks found                             | 29.12| 20581|3
2019-05-09 18:54:51,854|MF|app-20190509184931-0108|1|4|START|321.68|H.Maximal disks prunned                           |  0.00|     0|3
2019-05-09 18:55:02,252|MF|app-20190509184931-0108|1|4|  END|332.08|H.Maximal disks prunned                           | 10.40| 13992|3
2019-05-09 18:55:03,016|FF|app-20190509184931-0108|1|4|  END|332.84|1.Maximal disks found                             | 54.84| 13992|3
2019-05-09 18:55:03,016|FF|app-20190509184931-0108|1|4|START|332.84|2.Join done                                       |  0.00|     0|3
2019-05-09 18:55:25,500|FF|app-20190509184931-0108|1|4|  END|355.32|2.Join done                                       | 22.48| 87758|3
2019-05-09 18:55:25,500|FF|app-20190509184931-0108|1|4|START|355.32|3.Flocks to report                                |  0.00|     0|3
2019-05-09 18:55:28,620|FF|app-20190509184931-0108|1|4|  END|358.44|3.Flocks to report                                |  3.12| 75402|3
2019-05-09 18:55:28,620|FF|app-20190509184931-0108|1|4|START|358.44|4.Flocks prunned by expansion                     |  0.00|     0|3
2019-05-09 18:55:28,677|FF|app-20190509184931-0108|1|4|START|358.50|4a.Making expansions                              |  0.00|     0|3
2019-05-09 18:55:34,525|FF|app-20190509184931-0108|1|4|  END|364.35|4a.Making expansions                              |  5.85| 89571|3
2019-05-09 18:55:34,525|FF|app-20190509184931-0108|1|4|START|364.35|4b.Finding maximals                               |  0.00|     0|3
2019-05-09 18:56:20,011|FF|app-20190509184931-0108|1|4|  END|409.83|4b.Finding maximals                               | 45.49| 19402|3
2019-05-09 18:56:20,011|FF|app-20190509184931-0108|1|4|START|409.83|4c.Selecting and mapping                          |  0.00|     0|3
2019-05-09 18:56:25,289|FF|app-20190509184931-0108|1|4|  END|415.11|4c.Selecting and mapping                          |  5.28| 19402|3
2019-05-09 18:56:25,290|FF|app-20190509184931-0108|1|4|START|415.11|4d.Filtering and distinc                          |  0.00|     0|3
2019-05-09 18:56:25,538|FF|app-20190509184931-0108|1|4|  END|415.36|4d.Filtering and distinc                          |  0.25| 19402|3
2019-05-09 18:56:26,522|FF|app-20190509184931-0108|1|4|  END|416.35|4.Flocks prunned by expansion                     | 57.90| 13342|3
2019-05-09 18:56:26,523|FF|app-20190509184931-0108|1|4|START|416.35|5.Flocks reported                                 |  0.00|     0|3
2019-05-09 18:56:26,911|FF|app-20190509184931-0108|1|4|  END|416.73|5.Flocks reported                                 |  0.39| 13342|3
2019-05-09 18:56:26,911|FF|app-20190509184931-0108|1|4|START|416.73|6.Candidates indexed                              |  0.00|     0|3
2019-05-09 18:56:36,003|FF|app-20190509184931-0108|1|4|  END|425.83|6.Candidates indexed                              |  9.09| 26972|3
2019-05-09 18:56:36,004|FF|app-20190509184931-0108|1|4|START|425.83|1.Maximal disks found                             |  0.00|     0|4
2019-05-09 18:56:36,004|MF|app-20190509184931-0108|1|4|START|425.83|A.Points indexed                                  |  0.00|     0|4
2019-05-09 18:56:36,121|MF|app-20190509184931-0108|1|4|  END|425.94|A.Points indexed                                  |  0.12| 37108|4
2019-05-09 18:56:36,121|MF|app-20190509184931-0108|1|4|START|425.94|B.Pairs found                                     |  0.00|     0|4
2019-05-09 18:56:37,186|MF|app-20190509184931-0108|1|4|  END|427.01|B.Pairs found                                     |  1.07| 82498|4
2019-05-09 18:56:37,186|MF|app-20190509184931-0108|1|4|START|427.01|C.Centers found                                   |  0.00|     0|4
2019-05-09 18:56:37,420|MF|app-20190509184931-0108|1|4|  END|427.24|C.Centers found                                   |  0.23|164996|4
2019-05-09 18:56:37,421|MF|app-20190509184931-0108|1|4|START|427.24|D.Disks found                                     |  0.00|     0|4
2019-05-09 18:56:42,947|MF|app-20190509184931-0108|1|4|  END|432.77|D.Disks found                                     |  5.53| 74062|4
2019-05-09 18:56:42,947|MF|app-20190509184931-0108|1|4|START|432.77|E.Disks indexed                                   |  0.00|     0|4
2019-05-09 18:56:43,590|MF|app-20190509184931-0108|1|4|  END|433.41|E.Disks indexed                                   |  0.64| 74062|4
2019-05-09 18:56:43,590|MF|app-20190509184931-0108|1|4|START|433.41|F.Expansions gotten                               |  0.00|     0|4
2019-05-09 18:56:50,936|MF|app-20190509184931-0108|1|4|  END|440.76|F.Expansions gotten                               |  7.35|104500|4
2019-05-09 18:56:50,936|MF|app-20190509184931-0108|1|4|START|440.76|G.Maximal disks found                             |  0.00|     0|4
2019-05-09 18:57:19,791|MF|app-20190509184931-0108|1|4|  END|469.61|G.Maximal disks found                             | 28.86| 20576|4
2019-05-09 18:57:19,792|MF|app-20190509184931-0108|1|4|START|469.62|H.Maximal disks prunned                           |  0.00|     0|4
2019-05-09 18:57:27,731|MF|app-20190509184931-0108|1|4|  END|477.55|H.Maximal disks prunned                           |  7.94| 13988|4
2019-05-09 18:57:28,387|FF|app-20190509184931-0108|1|4|  END|478.21|1.Maximal disks found                             | 52.38| 13988|4
2019-05-09 18:57:28,387|FF|app-20190509184931-0108|1|4|START|478.21|2.Join done                                       |  0.00|     0|4
2019-05-09 18:57:49,492|FF|app-20190509184931-0108|1|4|  END|499.32|2.Join done                                       | 21.11| 88746|4
2019-05-09 18:57:49,492|FF|app-20190509184931-0108|1|4|START|499.32|3.Flocks to report                                |  0.00|     0|4
2019-05-09 18:57:52,751|FF|app-20190509184931-0108|1|4|  END|502.57|3.Flocks to report                                |  3.26| 71624|4
2019-05-09 18:57:52,751|FF|app-20190509184931-0108|1|4|START|502.57|4.Flocks prunned by expansion                     |  0.00|     0|4
2019-05-09 18:57:52,811|FF|app-20190509184931-0108|1|4|START|502.63|4a.Making expansions                              |  0.00|     0|4
2019-05-09 18:57:58,740|FF|app-20190509184931-0108|1|4|  END|508.56|4a.Making expansions                              |  5.93| 85400|4
2019-05-09 18:57:58,740|FF|app-20190509184931-0108|1|4|START|508.56|4b.Finding maximals                               |  0.00|     0|4
