spark-submit --class FF /home/acald013/Research/GeoSpark/target/scala-2.11/pflock_2.11-0.1.jar --input /home/acald013/Research/Datasets/Berlin/SideBySide/B1.tsv --epsilon 110 --mu 3 --delta 3 --distance 100 --master 169.235.27.138 --cores 4 --executors 1 --spatial CUSTOM --customymf 30 --customxmf 30 --customy 30 --customx 30 --fftimestamp 5
2019-05-09 17:01:55,432|MF|app-20190509165931-0102|1|4|START|145.05|C.Centers found                                   |  0.00|     0|2
2019-05-09 17:01:55,651|MF|app-20190509165931-0102|1|4|  END|145.27|C.Centers found                                   |  0.22|162288|2
2019-05-09 17:01:55,651|MF|app-20190509165931-0102|1|4|START|145.27|D.Disks found                                     |  0.00|     0|2
2019-05-09 17:02:01,009|MF|app-20190509165931-0102|1|4|  END|150.63|D.Disks found                                     |  5.36| 72710|2
2019-05-09 17:02:01,009|MF|app-20190509165931-0102|1|4|START|150.63|E.Disks indexed                                   |  0.00|     0|2
2019-05-09 17:02:01,632|MF|app-20190509165931-0102|1|4|  END|151.25|E.Disks indexed                                   |  0.62| 72710|2
2019-05-09 17:02:01,632|MF|app-20190509165931-0102|1|4|START|151.25|F.Expansions gotten                               |  0.00|     0|2
2019-05-09 17:02:09,812|MF|app-20190509165931-0102|1|4|  END|159.43|F.Expansions gotten                               |  8.18|102731|2
2019-05-09 17:02:09,812|MF|app-20190509165931-0102|1|4|START|159.43|G.Maximal disks found                             |  0.00|     0|2
2019-05-09 17:02:34,279|MF|app-20190509165931-0102|1|4|  END|183.90|G.Maximal disks found                             | 24.47| 20250|2
2019-05-09 17:02:34,279|MF|app-20190509165931-0102|1|4|START|183.90|H.Maximal disks prunned                           |  0.00|     0|2
2019-05-09 17:02:42,652|MF|app-20190509165931-0102|1|4|  END|192.27|H.Maximal disks prunned                           |  8.37| 13744|2
2019-05-09 17:02:43,292|FF|app-20190509165931-0102|1|4|  END|192.91|1.Maximal disks found                             | 49.05| 13744|2
2019-05-09 17:02:43,292|FF|app-20190509165931-0102|1|4|START|192.91|2.Join done                                       |  0.00|     0|2
2019-05-09 17:03:13,121|FF|app-20190509165931-0102|1|4|  END|222.74|2.Join done                                       | 29.83| 88166|2
2019-05-09 17:03:13,121|FF|app-20190509165931-0102|1|4|START|222.74|3.Flocks to report                                |  0.00|     0|2
2019-05-09 17:03:15,893|FF|app-20190509165931-0102|1|4|  END|225.51|3.Flocks to report                                |  2.77| 75440|2
2019-05-09 17:03:15,894|FF|app-20190509165931-0102|1|4|START|225.52|4.Flocks prunned by expansion                     |  0.00|     0|2
2019-05-09 17:03:15,946|FF|app-20190509165931-0102|1|4|START|225.57|4a.Making expansions                              |  0.00|     0|2
2019-05-09 17:03:22,005|FF|app-20190509165931-0102|1|4|  END|231.63|4a.Making expansions                              |  6.06| 89726|2
2019-05-09 17:03:22,005|FF|app-20190509165931-0102|1|4|START|231.63|4b.Finding maximals                               |  0.00|     0|2
2019-05-09 17:03:56,509|FF|app-20190509165931-0102|1|4|  END|266.13|4b.Finding maximals                               | 34.50| 19233|2
2019-05-09 17:03:56,509|FF|app-20190509165931-0102|1|4|START|266.13|4c.Selecting and mapping                          |  0.00|     0|2
2019-05-09 17:04:00,776|FF|app-20190509165931-0102|1|4|  END|270.40|4c.Selecting and mapping                          |  4.27| 19233|2
2019-05-09 17:04:00,776|FF|app-20190509165931-0102|1|4|START|270.40|4d.Filtering and distinc                          |  0.00|     0|2
2019-05-09 17:04:01,025|FF|app-20190509165931-0102|1|4|  END|270.65|4d.Filtering and distinc                          |  0.25| 19233|2
2019-05-09 17:04:01,996|FF|app-20190509165931-0102|1|4|  END|271.62|4.Flocks prunned by expansion                     | 46.10| 13206|2
2019-05-09 17:04:01,997|FF|app-20190509165931-0102|1|4|START|271.62|5.Flocks reported                                 |  0.00|     0|2
2019-05-09 17:04:02,352|FF|app-20190509165931-0102|1|4|  END|271.97|5.Flocks reported                                 |  0.36| 13206|2
2019-05-09 17:04:02,352|FF|app-20190509165931-0102|1|4|START|271.97|6.Candidates indexed                              |  0.00|     0|2
2019-05-09 17:04:11,431|FF|app-20190509165931-0102|1|4|  END|281.05|6.Candidates indexed                              |  9.08| 27016|2
2019-05-09 17:04:11,431|FF|app-20190509165931-0102|1|4|START|281.05|1.Maximal disks found                             |  0.00|     0|3
2019-05-09 17:04:11,431|MF|app-20190509165931-0102|1|4|START|281.05|A.Points indexed                                  |  0.00|     0|3
2019-05-09 17:04:11,552|MF|app-20190509165931-0102|1|4|  END|281.17|A.Points indexed                                  |  0.12| 37108|3
2019-05-09 17:04:11,552|MF|app-20190509165931-0102|1|4|START|281.17|B.Pairs found                                     |  0.00|     0|3
2019-05-09 17:04:12,575|MF|app-20190509165931-0102|1|4|  END|282.20|B.Pairs found                                     |  1.02| 82526|3
