partitionId	taskId	grid_id	wkt	jobId	jobGroup	stageId	index	launchTime	finishTime	duration	schedulerDelay	executorId	host	taskLocality	speculative	gettingResultTime	successful	executorRunTime	executorCpuTime	executorDeserializeTime	executorDeserializeCpuTime	resultSerializationTime	jvmGCTime	resultSize	numUpdatedBlockStatuses	diskBytesSpilled	memoryBytesSpilled	peakExecutionMemory	recordsRead	bytesRead	recordsWritten	bytesWritten	shuffleFetchWaitTime	shuffleTotalBytesRead	shuffleTotalBlocksFetched	shuffleLocalBlocksFetched	shuffleRemoteBlocksFetched	shuffleWriteTime	shuffleBytesWritten	shuffleRecordsWritten	appId	phaseName
722	10824	722	POLYGON ((1986915.1199 547525.3455, 1986915.1199 548791.1121, 1987917.6075 548791.1121, 1987917.6075 547525.3455, 1986915.1199 547525.3455))	12		41	10824	1594667755624	1594667755933	309	5	6	mr-06	0	false	0	true	297	31	7	4	0	0	967	0	0	0	0	0	0	0	0	249	10882	120	10	110	0	0	0	0624	Disks phase
292	10394	292	POLYGON ((1989296.0279 571416.69, 1989296.0279 571574.9108, 1989421.3388 571574.9108, 1989421.3388 571416.69, 1989296.0279 571416.69))	12		41	10394	1594667754490	1594667754688	198	4	3	mr-04	0	false	0	true	188	26	6	4	0	0	967	0	0	0	0	0	0	0	0	154	3974	44	2	42	0	0	0	0624	Disks phase
751	10853	751	POLYGON ((1987917.6075 546259.5789, 1987917.6075 546892.4622, 1988418.8513 546892.4622, 1988418.8513 546259.5789, 1987917.6075 546259.5789))	12		41	10853	1594667755780	1594667755911	131	6	7	mr-09	0	false	0	true	120	33	5	4	0	0	967	0	0	0	0	0	0	0	0	82	15394	166	10	156	0	0	0	0624	Disks phase
363	10465	363	POLYGON ((1982153.304 561765.2197, 1982153.304 562081.6614, 1982403.9259 562081.6614, 1982403.9259 561765.2197, 1982153.304 561765.2197))	12		41	10465	1594667754662	1594667755770	1108	3	10	mr-01	0	false	0	true	1099	817	6	4	0	217	1011	0	0	0	0	0	0	0	0	0	48424	506	42	464	0	0	0	0624	Disks phase
881	10983	881	POLYGON ((1992930.0453 534234.7963, 1992930.0453 534867.6796, 1993431.2891 534867.6796, 1993431.2891 534234.7963, 1992930.0453 534234.7963))	12		41	10983	1594667756114	1594667756199	85	6	1	mr-07	0	false	0	true	71	22	8	5	0	0	967	0	0	0	0	0	0	0	0	45	3492	38	8	30	0	0	0	0624	Disks phase
622	10724	622	POLYGON ((1967867.8562 537399.2128, 1967867.8562 538664.9794, 1968870.3438 538664.9794, 1968870.3438 537399.2128, 1967867.8562 537399.2128))	12		41	10724	1594667755358	1594667755613	255	9	8	mr-03	0	false	0	true	241	34	5	4	0	0	967	0	0	0	0	0	0	0	0	203	6392	70	4	66	0	0	0	0624	Disks phase
530	10632	530	POLYGON ((1973882.7816 543728.0457, 1973882.7816 546259.5789, 1975887.7567 546259.5789, 1975887.7567 543728.0457, 1973882.7816 543728.0457))	12		41	10632	1594667755155	1594667755326	171	3	6	mr-06	0	false	0	true	164	30	4	3	0	0	967	0	0	0	0	0	0	0	0	131	16758	180	12	168	0	0	0	0624	Disks phase
662	10764	662	POLYGON ((1978895.2194 542462.2792, 1978895.2194 543728.0457, 1979897.707 543728.0457, 1979897.707 542462.2792, 1978895.2194 542462.2792))	12		41	10764	1594667755585	1594667755785	200	5	1	mr-07	0	false	0	true	191	17	4	4	0	0	967	0	0	0	0	0	0	0	0	168	4504	50	0	50	0	0	0	0624	Disks phase
872	10974	872	POLYGON ((1992428.8015 536133.4462, 1992428.8015 536766.3295, 1992930.0453 536766.3295, 1992930.0453 536133.4462, 1992428.8015 536133.4462))	12		41	10974	1594667755993	1594667756168	175	4	4	mr-02	0	false	0	true	167	20	4	3	0	0	967	0	0	0	0	0	0	0	0	146	4698	52	10	42	0	0	0	0624	Disks phase
488	10590	488	POLYGON ((1966865.3687 544993.8123, 1966865.3687 546259.5789, 1967867.8562 546259.5789, 1967867.8562 544993.8123, 1966865.3687 544993.8123))	12		41	10590	1594667754972	1594667755354	382	6	1	mr-07	0	false	0	true	370	46	6	5	0	12	1010	0	0	0	0	0	0	0	0	319	17698	188	16	172	0	0	0	0624	Disks phase
76	10178	76	POLYGON ((1973882.7816 566511.8444, 1973882.7816 569043.3776, 1975887.7567 569043.3776, 1975887.7567 566511.8444, 1973882.7816 566511.8444))	12		41	10178	1594667753900	1594667754246	346	9	4	mr-02	0	false	0	true	248	100	89	8	0	37	1010	0	0	0	0	0	0	0	0	1	10852	118	12	106	0	0	0	0624	Disks phase
80	10182	80	POLYGON ((1972880.2941 563980.3112, 1972880.2941 565246.0778, 1973882.7816 565246.0778, 1973882.7816 563980.3112, 1972880.2941 563980.3112))	12		41	10182	1594667753901	1594667754190	289	9	12	mr-05	0	false	0	true	201	101	79	18	0	0	967	0	0	0	0	0	0	0	0	0	14844	162	22	140	0	0	0	0624	Disks phase
851	10953	851	POLYGON ((1995436.2642 539297.8627, 1995436.2642 539930.746, 1995937.508 539930.746, 1995937.508 539297.8627, 1995436.2642 539297.8627))	12		41	10953	1594667755952	1594667756134	182	3	1	mr-07	0	false	0	true	174	29	5	4	0	0	967	0	0	0	0	0	0	0	0	141	5740	62	4	58	0	0	0	0624	Disks phase
729	10831	729	POLYGON ((1985912.6324 543728.0457, 1985912.6324 546259.5789, 1987917.6075 546259.5789, 1987917.6075 543728.0457, 1985912.6324 543728.0457))	12		41	10831	1594667755628	1594667755933	305	13	8	mr-03	0	false	0	true	287	53	5	4	0	10	1010	0	0	0	0	0	0	0	0	224	32212	348	62	286	0	0	0	0624	Disks phase
148	10250	148	POLYGON ((1971877.8065 558917.2449, 1971877.8065 560183.0115, 1972880.2941 560183.0115, 1972880.2941 558917.2449, 1971877.8065 558917.2449))	12		41	10250	1594667754193	1594667754456	263	4	3	mr-04	0	false	0	true	254	28	5	4	0	13	1010	0	0	0	0	0	0	0	0	207	6316	70	4	66	0	0	0	0624	Disks phase
56	10158	56	POLYGON ((1973882.7816 571574.9108, 1973882.7816 574106.444, 1975887.7567 574106.444, 1975887.7567 571574.9108, 1973882.7816 571574.9108))	12		41	10158	1594667753898	1594667754183	285	11	12	mr-05	0	false	0	true	194	92	80	9	0	0	967	0	0	0	0	0	0	0	0	0	15876	174	14	160	0	0	0	0624	Disks phase
805	10907	805	POLYGON ((1981902.6821 534867.6796, 1981902.6821 536133.4462, 1982905.1697 536133.4462, 1982905.1697 534867.6796, 1981902.6821 534867.6796))	12		41	10907	1594667755920	1594667756163	243	191	10	mr-01	0	false	0	true	48	28	4	4	0	0	967	0	0	0	0	0	0	0	0	13	12476	136	12	124	0	0	0	0624	Disks phase
484	10586	484	POLYGON ((1964860.3936 544993.8123, 1964860.3936 546259.5789, 1965862.8811 546259.5789, 1965862.8811 544993.8123, 1964860.3936 544993.8123))	12		41	10586	1594667754970	1594667755343	373	12	12	mr-05	0	false	0	true	356	32	5	5	0	0	967	0	0	0	0	0	0	0	0	313	13578	150	14	136	0	0	0	0624	Disks phase
