tinstance	cellId	method	epsilon	time	n
320	30	PSI	14	0.0090298747	250
320	30	PSI	16	0.010184208560000001	303
320	30	PSI	18	0.01096649366	358
320	30	PSI	20	0.011386380719999999	403
320	31	BFE	10	0.0031609664400000003	0
320	31	BFE	12	0.0031391679	0
320	31	BFE	14	0.00384418444	0
320	31	BFE	16	0.0031823076200000002	0
320	31	BFE	18	0.00316673892	0
320	31	BFE	20	0.00586439984	3
320	31	PSI	10	5.927751399999999e-4	0
320	31	PSI	12	6.281923800000001e-4	0
320	31	PSI	14	6.674095400000001e-4	0
320	31	PSI	16	5.8745686e-4	0
320	31	PSI	18	6.0647964e-4	0
320	31	PSI	20	0.00106549178	3
320	32	BFE	10	0.00457210978	0
320	32	BFE	12	0.007018215999999999	3
320	32	BFE	14	0.0072761336600000006	5
320	32	BFE	16	0.007397523760000001	5
320	32	BFE	18	0.007507830039999999	8
320	32	BFE	20	0.00785556036	8
320	32	PSI	10	0.0015186929	0
320	32	PSI	12	0.0017757960200000002	3
320	32	PSI	14	0.00223715204	5
320	32	PSI	16	0.0022237524	5
320	32	PSI	18	0.0024239977400000003	8
320	32	PSI	20	0.0025955198400000002	8
320	33	BFE	10	0.00473236246	0
320	33	BFE	12	0.00445854426	0
320	33	BFE	14	0.00445431762	0
320	33	BFE	16	0.00453293376	0
320	33	BFE	18	0.00480553584	0
320	33	BFE	20	0.0047205986399999995	0
320	33	PSI	10	0.00125491642	0
320	33	PSI	12	0.0013724088000000001	0
320	33	PSI	14	0.00123621546	0
320	33	PSI	16	0.0012713022399999999	0
320	33	PSI	18	0.00147016516	0
320	33	PSI	20	0.0015380981799999998	0
320	34	BFE	10	0.0032411530600000003	0
320	34	BFE	12	0.00329866522	0
320	34	BFE	14	0.00391348688	0
320	34	BFE	16	0.0033819354600000003	0
320	34	BFE	18	0.00328274828	0
320	34	BFE	20	0.00326075968	0
320	34	PSI	10	5.796474400000001e-4	0
320	34	PSI	12	6.0296766e-4	0
320	34	PSI	14	6.1839874e-4	0
320	34	PSI	16	6.0265394e-4	0
320	34	PSI	18	5.5931954e-4	0
320	34	PSI	20	5.841044200000001e-4	0
320	35	BFE	10	0.0028806507799999997	0
320	35	BFE	12	0.00287516596	0
320	35	BFE	14	0.00287356948	0
320	35	BFE	16	0.0027940543200000003	0
