2018-06-07 21:38:52,720 -> 

Iteration Epsilon=50, Mu=5 and Delta=5 has started...
0, 4, 387 2783 4159 9081 11730 14650 15033 19387
0, 4, 387 2783 7415 9805 15033 16849 19387
0, 4, 2783 9081 9805 11730 13759 14650 15033 19387
0, 4, 2783 9081 11730 13759 14650 15033 19360
0, 4, 387 2783 9081 9805 11730 14650 15033 16849 19387
0, 4, 621 6904 7009 9873 13947 18496
0, 4, 621 1906 4441 6904 7009 7929 9873 13814 16340 18496
0, 4, 621 4441 6766 6904 7009 7929 9873 13814 16340 17166 18496
0, 4, 621 2514 6766 6904 7929 9873 13814 16340 17166 18496
0, 4, 621 2514 6766 7929 9054 13814 16340 17166 18496
0, 4, 621 6766 7929 9054 9873 13814 16340 17166 18496
0, 4, 621 1906 4441 6904 7009 9873 11068 12283 13814 18496
0, 4, 621 4441 6904 7009 9873 12283 13814 16340 18496
0, 4, 2127 2579 3158 12868 13537 14404
0, 4, 2127 2579 3512 12868 13537 14404
0, 4, 2127 2579 3158 4574 5032 6691 7530 12197 12868
0, 4, 2127 2579 3158 5032 6691 12197 12868 13537
0, 4, 2579 3512 6337 12427 12868 13537 14404 16044
0, 4, 2127 2579 8014 12197 12868
0, 4, 2127 3158 12197 12868 13537 16724
0, 4, 3512 6337 12427 12868 13759 16044
0, 4, 2127 3158 12868 13537 14404 16724
0, 4, 3512 6337 12427 12868 13537 14404 16044 16724
0, 4, 3215 3512 5434 6337 7783 8741 9805 12427 16044 16240 16641 16714
0, 4, 3512 6337 7783 8741 9805 12427 13759 16044 16240 16641 16714 19387
0, 4, 3215 5434 6337 7783 8741 10475 12427 14188 16044 16240 16641 16714
0, 4, 2127 3512 6337 12868 13537 14404 16724
0, 4, 387 2783 7783 8741 9081 9805 15033 16240 16641 16849 19387
0, 4, 3512 6337 7783 12427 13537 14404 16044 16714 16724
0, 4, 2783 3215 5434 7783 8741 9805 10475 14188 15033 16240 16641 16714 16849 19387
0, 4, 7783 8741 9081 9805 12427 13759 16044 16240 16641 16714
0, 4, 2783 7783 8741 9081 9805 13759 15033 16044 16240 16641 16714 19387
0, 4, 2783 7783 8741 9805 12427 13759 15033 16044 16240 16641 16714 19387
0, 4, 3512 6337 7783 8741 12427 13759 14404 16044 16240 16641 16714
0, 4, 387 2783 4159 4751 9081 11730 14650 15033
0, 4, 387 2783 3215 7783 8741 9805 15033 16240 16641 16714 16849 19387
0, 4, 387 2783 8741 9081 9805 14650 15033 16240 16641 16849 19387
0, 4, 387 2783 8741 9081 9805 13759 14650 15033 16240 16641 19387
0, 4, 387 2783 3215 5434 8741 9805 10475 14188 15033 16240 16641 16849 19387
0, 4, 2783 3215 7783 8741 9805 12427 16044 16240 16641 16714 19387
0, 4, 2783 3215 5434 7783 8741 9805 16044 16240 16641 16714 19387
0, 4, 2783 6337 7783 8741 9805 12427 16044 16240 16641 16714 19387
0, 4, 3215 5434 10475 14188 16325 16790 16849
0, 4, 3215 5434 7783 8741 9805 10475 12427 14188 16044 16240 16641 16714
